,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
381,harper,28.05,4.375,-7.7169,97,4.72,76
382,fuling,15.89,29.7022,107.3919,78,0.44,95
383,portland,10.52,45.5234,-122.6762,90,3.6,71
384,dudinka,-7.54,69.4058,86.1778,87,7.18,90
385,rassvet,6.62,46.8333,40.75,100,1.54,96
386,port shepstone,21.0,-30.7414,30.455,76,4.12,81
387,itacoatiara,27.69,-3.1431,-58.4442,99,0.6,84
388,solnechnyy,3.47,50.7214,136.6319,62,1.96,57
389,abnub,25.0,27.2696,31.1511,0,6.17,41
390,torbay,7.59,47.6666,-52.7314,90,11.83,46
391,lagoa,16.2,39.05,-27.9833,95,2.72,72
392,kualakapuas,26.0,-3.0091,114.3876,90,1.03,89
393,galiakot,33.9,23.5167,74.0,8,4.81,15
394,srednekolymsk,-17.01,67.45,153.6833,30,2.24,96
395,gayeri,36.32,12.6497,0.4931,82,4.43,19
396,boyuibe,22.0,-20.4167,-63.2833,75,2.06,53
397,khani,11.0,41.9563,42.9566,90,3.6,93
398,panaba,35.49,21.2833,-88.2667,5,4.24,32
399,isiro,20.07,2.7739,27.616,70,0.39,87
400,mayya,3.0,61.7333,130.2811,40,2.0,81
401,acapulco,29.0,16.8634,-99.8901,1,4.63,74
402,zemio,24.5,5.0314,25.1361,73,0.76,70
403,dzhebariki-khaya,-0.26,62.2167,135.8,100,2.65,98
404,stodolishche,1.28,54.1859,32.6492,57,2.67,70
405,port blair,27.52,11.6667,92.75,75,3.06,79
406,tual,28.51,-5.6667,132.75,82,3.06,58
407,filingue,37.19,14.3521,3.3168,59,0.29,18
408,slave lake,2.0,55.2834,-114.769,90,3.09,75
409,achi,31.79,8.5682,-74.554,99,1.34,62
410,poum,23.95,-20.2333,164.0167,20,9.23,72
411,tazovskiy,0.57,67.4667,78.7,96,5.91,97
412,lincoln,28.28,40.8,-96.667,1,8.75,36
413,nemuro,0.6,43.3236,145.575,18,6.04,70
414,walvis bay,18.91,-22.9575,14.5053,0,5.66,68
415,antalaha,23.84,-14.9003,50.2788,37,2.99,90
416,sidi ali,17.97,36.0998,0.4206,4,1.51,58
417,guarapari,29.56,-20.6667,-40.4975,20,5.14,62
418,haines junction,4.0,60.7522,-137.5108,0,1.03,48
419,maracacume,29.91,-2.0428,-45.9592,87,1.65,68
420,carbonia,18.44,39.1672,8.5222,40,3.6,77
421,port hawkesbury,10.27,45.6169,-61.3485,90,2.06,93
422,islamkot,29.31,24.6997,70.177,0,6.3,40
423,zeya,8.58,53.75,127.2667,100,3.75,61
424,rudnyy,9.0,52.9594,63.1206,90,4.0,81
425,alvand,14.89,36.3187,49.1678,96,2.68,52
426,glace bay,8.14,46.1969,-59.957,90,12.35,100
427,kinsale,13.9,51.7075,-8.5306,20,4.63,51
428,broken hill,13.0,-31.95,141.4333,19,2.06,62
429,nouadhibou,22.0,20.931,-17.0347,0,9.26,64
430,la ronge,7.5,55.1001,-105.2842,66,2.06,29
431,sidareja,24.02,-7.4846,108.7923,8,0.9,92
432,shingu,9.29,33.7333,135.9833,71,2.5,63
433,shahrud,23.64,36.4182,54.9763,79,1.12,28
434,chokurdakh,-7.7,70.6333,147.9167,100,2.03,96
435,kalisz,4.44,51.7611,18.091,100,0.45,62
436,pearl,25.83,32.2746,-90.132,1,2.06,38
437,betong,22.74,5.7743,101.0723,100,0.34,97
438,asfi,18.24,32.2994,-9.2372,4,9.19,79
439,colquechaca,6.97,-18.6667,-66.0167,0,2.53,16
440,omagh,10.0,54.6,-7.3,75,7.2,87
441,atasu,12.87,48.6814,71.6433,97,2.92,57
442,nishihara,18.24,26.1842,127.7558,1,2.06,64
443,the valley,27.78,18.217,-63.0578,20,7.72,65
444,serta,17.11,39.8085,-8.0988,78,0.81,90
445,newport,12.94,51.5877,-2.9984,53,3.6,47
446,fort saint james,11.76,54.4333,-124.25,44,2.42,31
447,baykit,-5.8,61.67,96.37,14,1.13,93
448,lompoc,13.14,34.6391,-120.4579,2,7.72,67
449,de-kastri,-0.7,51.4667,140.7833,46,2.82,87
450,samarai,26.86,-10.6167,150.6667,99,2.59,80
451,gorontalo,23.69,0.5412,123.0595,89,0.94,92
452,samfya,22.35,-11.3649,29.5565,85,1.09,60
453,lagos,31.0,6.5833,3.75,20,2.57,70
454,enugu,33.0,6.4402,7.4943,40,2.06,58
455,asosa,18.19,10.0667,34.5333,100,0.51,83
456,venosa,16.53,40.9613,15.8149,20,3.6,68
457,netarhat,21.56,23.4833,84.2667,55,0.82,9
458,sioux lookout,2.0,50.1001,-91.917,90,5.66,80
459,jinchang,7.1,38.4953,102.1739,74,4.35,26
460,fort collins,21.97,40.5853,-105.0844,1,5.8,18
461,rawson,21.49,-43.3002,-65.1023,14,2.59,31
462,dalvik,4.0,65.9702,-18.5286,0,4.63,70
463,yerkoy,11.23,39.6381,34.4672,99,4.2,68
464,coihaique,13.0,-45.5752,-72.0662,75,2.06,67
465,muros,16.11,42.7762,-9.0603,30,4.47,80
