,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
418,muros,16.39,42.7762,-9.0603,94,4.47,89
419,lianzhou,19.24,24.7811,112.3825,100,3.14,95
421,peleduy,-4.89,59.6289,112.7406,100,0.41,98
422,bam,27.04,29.106,58.357,92,3.58,20
424,agadir,19.0,30.4202,-9.5982,20,6.69,63
425,sioux lookout,3.0,50.1001,-91.917,40,4.12,32
426,nikel,0.0,69.4128,30.222,75,6.69,100
427,leningradskiy,-3.77,69.3833,178.4167,100,2.15,87
428,amazar,-0.54,53.858,120.875,83,0.35,66
429,skofljica,9.44,45.9833,14.5767,0,0.51,57
430,ozinki,9.41,51.1786,49.6769,24,6.7,88
431,mitu,30.72,1.1983,-70.1733,100,1.4,59
432,prince rupert,9.75,54.3161,-130.3201,1,2.06,71
433,ketchikan,13.0,55.3422,-131.6461,1,5.14,41
434,taga,6.99,46.95,24.05,0,0.51,53
435,jinan,13.33,36.6683,116.9972,100,1.34,81
436,gubkinskiy,0.89,64.434,76.5026,100,2.98,94
437,wanning,25.3,18.8003,110.3967,53,3.88,92
438,tateyama,15.3,34.9833,139.8667,6,2.24,58
439,calamar,30.0,10.2511,-74.9146,20,5.14,74
440,horsham,8.38,51.064,-0.3272,0,5.66,49
441,bhindar,26.56,24.5,74.1833,82,4.45,18
443,freeport,18.32,40.6576,-73.5832,1,6.69,26
445,sawakin,28.96,19.1059,37.3321,86,3.18,58
446,uzunovo,2.47,54.5386,38.6173,100,5.42,95
448,mandalgovi,8.63,45.7625,106.2708,100,0.82,82
449,athmallik,27.08,20.7219,84.5348,1,1.83,40
450,nazret,22.02,8.55,39.2667,89,2.03,49
451,beian,1.4,63.6559,9.5683,75,5.14,87
452,cholet,19.82,47.1667,-1.0,0,5.14,32
454,mbini,27.0,1.574,9.6134,40,2.63,94
455,buchanan,30.0,5.8808,-10.0467,40,3.09,79
456,caohai,14.99,26.8661,104.2841,91,1.72,84
457,gazanjyk,22.59,39.2446,55.5154,69,4.37,46
